id,group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
c01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c11,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
c21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c31,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
c41,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0
o03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o32,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,
o43,2,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
e02,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
e12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e22,3,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0
e33,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
e42,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
